,State,DC Fast Charge,Level 1,Level 2,EV Network
658,MD,,,2.0,ChargePoint Network
659,MI,,1.0,1.0,Non-Networked
660,MI,,1.0,1.0,ChargePoint Network
661,OR,,,2.0,Non-Networked
662,VA,,,1.0,Non-Networked
663,SC,,,1.0,Non-Networked
664,MA,,,2.0,Non-Networked
665,CA,,2.0,2.0,ChargePoint Network
666,CA,,,6.0,ChargePoint Network
667,MD,,,2.0,SemaCharge Network
668,MD,,,5.0,SemaCharge Network
669,NV,,,4.0,ChargePoint Network
670,NY,,,2.0,ChargePoint Network
671,SC,,,2.0,Non-Networked
672,TX,,,4.0,ChargePoint Network
673,TX,,,2.0,ChargePoint Network
674,TX,,,4.0,ChargePoint Network
675,TX,,2.0,2.0,ChargePoint Network
676,VA,,2.0,2.0,ChargePoint Network
677,CA,,,2.0,ChargePoint Network
678,CA,,,2.0,ChargePoint Network
679,CA,,,8.0,ChargePoint Network
680,CA,,1.0,3.0,ChargePoint Network
681,CA,,,6.0,ChargePoint Network
682,CA,,,2.0,ChargePoint Network
683,CA,,2.0,2.0,ChargePoint Network
684,CA,,1.0,1.0,ChargePoint Network
685,CA,,1.0,1.0,ChargePoint Network
686,VA,,,1.0,Non-Networked
687,CA,,,4.0,ChargePoint Network
688,TN,,,6.0,Non-Networked
689,WI,,,3.0,ChargePoint Network
690,WI,,,1.0,ChargePoint Network
691,WI,,,2.0,ChargePoint Network
692,CA,,,4.0,Non-Networked
693,NC,,,2.0,Non-Networked
694,WA,,,2.0,Non-Networked
695,VA,,,2.0,Non-Networked
696,CA,,,1.0,Non-Networked
697,NY,,,2.0,ChargePoint Network
698,NY,,,2.0,ChargePoint Network
699,NY,,,2.0,ChargePoint Network
700,OR,,,2.0,ChargePoint Network
701,TN,,1.0,1.0,ChargePoint Network
702,TX,,2.0,2.0,ChargePoint Network
703,VA,,,4.0,ChargePoint Network
704,WA,,2.0,2.0,ChargePoint Network
705,WA,,,2.0,ChargePoint Network
706,WA,,,4.0,ChargePoint Network
707,CA,,,2.0,ChargePoint Network
708,CA,,,1.0,ChargePoint Network
709,CA,,,1.0,ChargePoint Network
